iteration_id,latency_s
0,0.1422584056854248
1,0.15764069557189941
2,0.16613340377807617
3,0.15367627143859863
4,0.145827054977417
5,0.14865612983703613
6,0.14089751243591309
7,0.1485304832458496
8,0.14727497100830078
9,0.1490955352783203
10,0.13483285903930664
11,0.14299821853637695
12,0.14316678047180176
13,0.14457106590270996
14,0.14329028129577637
15,0.1314995288848877
16,0.12851691246032715
17,0.1335430145263672
18,0.13890743255615234
19,0.13469958305358887
20,0.1334066390991211
21,0.13005614280700684
22,0.14487957954406738
23,0.13819575309753418
24,0.13213348388671875
25,0.13335752487182617
26,0.1306314468383789
27,0.13315296173095703
28,0.12944626808166504
29,0.1329033374786377
30,0.12993383407592773
31,0.12864160537719727
32,0.12884259223937988
33,0.12998151779174805
34,0.13521695137023926
35,0.1302506923675537
36,0.13042807579040527
37,0.13021206855773926
38,0.13115763664245605
39,0.1311349868774414
40,0.13615870475769043
41,0.13622331619262695
42,0.12912654876708984
43,0.12959980964660645
44,0.1325831413269043
45,0.13170814514160156
46,0.1286022663116455
47,0.12962579727172852
48,0.1292562484741211
49,0.13442158699035645
50,0.13662195205688477
51,0.13396477699279785
52,0.1284174919128418
53,0.13300156593322754
54,0.129378080368042
55,0.13834166526794434
56,0.13284707069396973
57,0.13556599617004395
58,0.1297001838684082
59,0.14398598670959473
60,0.1311171054840088
61,0.13417506217956543
62,0.1445629596710205
63,0.13029265403747559
64,0.13202667236328125
65,0.1329336166381836
66,0.1347513198852539
67,0.1314387321472168
68,0.12871193885803223
69,0.1357724666595459
70,0.1370542049407959
71,0.1326751708984375
72,0.12733101844787598
73,0.13818573951721191
74,0.13360261917114258
75,0.1254289150238037
76,0.12666869163513184
77,0.12977838516235352
78,0.1319432258605957
79,0.12707996368408203
80,0.13012409210205078
81,0.13300323486328125
82,0.13168787956237793
83,0.1320352554321289
84,0.12991952896118164
85,0.13106274604797363
86,0.1299571990966797
87,0.13599300384521484
88,0.1369774341583252
89,0.14165997505187988
90,0.12696242332458496
91,0.1305992603302002
92,0.13332414627075195
93,0.13419270515441895
94,0.12771201133728027
95,0.12965989112854004
96,0.13196086883544922
97,0.13695812225341797
98,0.13118433952331543
99,0.13368463516235352
