,Pred_Normal,Pred_Stage_1_Minor,Pred_Stage_2_Moderate,Pred_Stage_3_Critical,Total_Actual
Actual_Normal,72,0,0,0,72
Actual_Stage_1_Minor,1611,17,0,0,1628
Actual_Stage_2_Moderate,0,0,0,0,0
Actual_Stage_3_Critical,0,0,0,0,0
