norms,pred_angles,true_angles,circular_errors
0.99999994,300.46356,356.25112182608626,55.78755981436751
0.99999994,271.38287,184.56212524628793,86.82074828886832
1.0,284.94098,23.967813310752682,99.02683430684641
1.0,296.8322,348.5665782931992,51.73436393773045
1.0,344.5356,19.79668889922386,35.26107488555198
1.0,279.89133,54.161954358648174,134.2706274543513
0.99999994,340.46136,208.09423308590348,132.36713166019027
0.99999994,306.4775,343.47827635882896,37.00076781390709
1.0,275.5042,189.94538476326593,85.55882666251532
1.0,310.08444,135.99976280357913,174.08467933509274
1.0,303.24292,84.18947375819141,140.9465538363164
0.99999994,311.10788,319.7252837736685,8.617404134996605
0.99999994,337.46588,264.3553975326826,73.11048381497363
1.0,285.5402,154.00466004612016,131.53553160427046
1.0,305.66342,23.32585416598887,77.66243253512948
1.0,327.55243,93.76411475305221,126.21168555383346
0.99999994,301.87836,191.0779011200142,110.80045581357956
1.0,342.89136,337.4567877011937,5.4345697206812815
1.0,336.24167,193.55194328318441,142.68972541798746
0.99999994,342.9687,189.55175482680318,153.41693413804057
1.0,295.06458,16.99778630212565,81.93321110681313
1.0,311.98563,81.09100134619715,129.10537512549402
1.0,295.0133,229.04398595571863,65.96931970834387
1.0,330.44638,314.41740276990055,16.028977845333827
0.99999994,329.0232,94.10931049353374,125.08611713415874
1.0,338.51517,2.160602947346013,23.64543571101791
1.0,327.01782,8.536711889316141,41.518889623691166
1.0,324.94894,45.78361354890226,80.8346694571054
1.0,351.64853,10.727866957610154,19.079337904875786
1.0,261.2328,358.070309257939,96.83752117200152
1.0,315.88333,355.9248542746472,40.04152297581908
1.0,342.98193,148.75146061116354,165.76952701741354
1.0,303.12686,176.54837343240592,126.5784881398597
1.0,264.83484,297.2541114707127,32.4192726035252
1.0,339.8775,229.94995008490804,109.92755235649821
1.0,345.90018,230.12955667664144,115.77062032531168
0.99999994,302.2945,187.18774573297924,115.10674889592701
0.99999994,311.69592,105.48818257205957,153.79225972049707
1.0,295.70996,182.69456953574894,113.01539140175106
0.99999994,331.33624,300.79411026589884,30.542132409882413
0.99999994,324.8499,173.0697056227118,151.78020892806944
0.99999994,290.02008,66.80432679965669,136.78424623325043
1.0,343.13712,32.22080872573447,49.08369324721883
1.0,1.1188303,22.807596406745084,21.688766083525785
1.0,349.45374,21.712115176148412,32.258379824585916
0.99999994,321.811,118.53483889357041,156.72383425489852
0.99999994,299.0735,321.3512644988202,22.27777817069523
1.0,326.68515,95.40378623523246,128.7186360887481
1.0,292.25757,286.95310315272957,5.304465206645432
1.0,285.9704,150.89920598070842,135.07119196851033
1.0,337.26447,116.37093188731401,139.10646655528276
0.99999994,317.24878,245.44683146200245,71.80194783487255
1.0,300.92554,64.28687766219441,123.3613405528194
1.0,322.37653,331.2786341399805,8.902108261074261
1.0,315.62335,322.4287993160782,6.805447265296948
1.0,316.96088,124.15125816959053,167.19038170474678
1.0,341.17188,170.18677210667846,170.98510289332154
1.0,328.41678,269.9996733512738,58.4171052131793
0.99999994,336.56866,155.82344694174006,179.2547823909588
0.99999994,314.64554,162.55578888092205,152.08974944915607
0.99999994,313.341,115.4661865827585,162.12518316478975
1.0,16.236128,356.9923092836977,19.24381856969586
1.0,331.4813,146.30637195037835,174.82507922576897
0.99999994,338.216,339.31872650834157,1.1027230903728196
1.0,301.42334,168.29579316540259,133.12754667834741
1.0,314.13416,9.58363360233379,55.449478328896305
0.99999994,349.50745,125.7692597758273,136.2618134867648
1.0,259.192,19.00718926311108,119.81520317912671
0.99999994,359.6181,183.08152376961792,176.53657925772583
0.99999994,326.29395,29.642267898354085,63.34832258585408
0.99999994,350.32278,1.2035631847030803,10.880778760874932
1.0,306.98755,338.13291672648666,31.145367898361656
1.0,327.13455,260.08033161393263,67.0542203880205
1.0,291.67108,185.5462501354334,106.12483140753534
1.0,351.8256,36.067535401849966,44.24194336083434
1.0,294.73657,320.78289904068373,26.04632677505873
1.0,336.75714,322.3648861905382,14.392254922743064
0.99999994,330.20358,338.9151655324762,8.711582768804305
1.0,324.9458,148.1995643923276,176.7462363889224
1.0,297.55585,153.0266240929789,144.52922307498986
0.99999994,314.4115,158.11522957503584,156.29626944840166
1.0,314.874,249.52226431162464,65.35172860829724
1.0,300.77383,67.20710222253251,126.43326799401689
1.0,313.82578,244.6843008960813,69.14147425040306
1.0,309.45898,136.0834983739486,173.3754860010514
1.0,325.0575,138.70441247159258,173.64691735440508
1.0,352.5263,95.32913727693955,102.8028311245958
1.0,320.46768,300.5679380186963,19.899743866069343
1.0,339.9179,1.7188396063330025,21.800931891489256
1.0,282.06403,235.2418368438008,46.82218903510545
1.0,342.30386,162.2580364660014,179.9541729406108
1.0,327.58856,4.634167013872514,37.04560500215376
0.99999994,299.4442,146.300228275865,153.1439855913225
1.0,334.1909,245.0359034375579,89.15498401361398
1.0,339.11417,289.1780912473083,49.93607501245731
1.0,321.7215,163.5835793382895,158.13791724374175
1.0,319.83835,320.51721861443866,0.6788702257667865
0.99999994,342.53543,358.0022113378676,15.466780429664482
0.99999994,302.3409,221.1253694875251,81.21554237770928
1.0,322.30743,18.596593749642615,56.289159667611386
